登记时间,功能点,问题摘要,触发条件,影响范围,优先级,是否解决,解决时间,人工确认是否解决,AI确认是否解决,备注
2026-07-20,标签关闭,点击标签关闭按钮时偶发无法关闭，多点几次后又可以关闭,在垂直标签栏点击单个标签的关闭按钮,影响单个标签关闭的稳定性,,是,2026-07-20,,,改为使用稳定标签标识解析当前真实标签，避免快照过期导致关闭目标失效
2026-07-20,批量关闭菜单,使用关闭其它标签或关闭下侧标签时偶发无法关闭，且点击后右键菜单不消失,在垂直标签栏右键菜单点击关闭其它标签或关闭下侧标签,影响批量关闭操作和菜单交互反馈,,是,2026-07-20,,,批量关闭改为按稳定标签标识重新定位目标，右键菜单关闭操作点击后立即收起
2026-07-20,垂直标签栏开关/锁定组,关闭垂直标签页、打开垂直标签页时，锁定组功能除锁定垂直标签页外还会锁定一个空的标签组,关闭或重新打开编辑器区域垂直标签栏,影响后续普通编辑器打开位置和编辑器组布局,,是,2026-07-20,,,锁定前显式聚焦垂直标签栏所在编辑器组，避免锁定命令作用到右侧空组
2026-07-20,标签切换,欢迎、设置等非文本编辑器标签无法通过点击垂直标签切换到已有标签,打开 VS Code 欢迎页、Getting Started、设置页、终端或其它 Webview 标签后点击垂直标签项,影响非文本编辑器标签的导航，可能重复打开内置页或完全无法跳转,,是,2026-07-20,,,先通过 VS Code 内置编辑器导航命令按目标组和索引选择已有标签，并校验激活组、标签索引和稳定标识；公开 API 可打开的标签仍保留可靠打开兜底，内置欢迎页和设置页保留最后命令兜底
2026-07-20,标签同步,垂直标签栏卡住并一直显示“正在同步打开的标签…”,打开或恢复垂直标签栏时同步打开标签列表,导致垂直标签栏无法完成加载并影响标签导航,,是,2026-07-20,,是,在既有刷新兜底基础上，将 Webview 脚本内联到 HTML 以绕过本地脚本资源加载失败；增加 renderAck 渲染确认，宿主未收到确认时重发快照，并记录确认超时日志
2026-07-20,标签切换,鼠标左键点击标签时偶发无法自动切换标签,在垂直标签栏左键点击标签项且鼠标按下到抬起间可能产生轻微移动,影响标签切换稳定性,3,是,2026-07-20,,,将拖拽源从整行改为独立拖拽手柄，点击按钮不再参与 HTML5 draggable；保留 Webview 到宿主的 requestId 激活日志并校验激活结果
2026-07-20,标签显示,标签悬停提示只显示文件名且同名标签会额外显示父目录,鼠标悬停在文件标签或同时打开两个同名文件标签,影响标签路径识别和标签列表简洁性,,是,2026-07-20,,,悬停提示改为文件系统全路径；同名标签不再生成父目录描述
2026-07-20,手工分组,手工分组时未分组文件被包在“未分组”组内，分组头部直接显示重命名按钮，分组删除按钮与标签关闭按钮样式和横向位置不一致,切换到手工分组并同时存在未分组标签和手动分组，查看分组头部操作,影响手工分组树层级、分组操作入口和关闭按钮视觉一致性,,是,2026-07-20,,,未分组标签改为树根一级无标题显示；重命名移至分组右键菜单；分组删除改为与标签关闭一致的 × 图标和右侧按钮列
2026-07-20,垂直标签栏开关/编辑器组恢复,垂直标签页已关闭且编辑器区域无标签时快速点击侧边栏的显示垂直标签页和打开垂直标签页可能生成两个编辑器组：一个空组和一个仅含欢迎界面的组,垂直标签页关闭且编辑器区域没有任何普通标签时快速连续触发侧边栏中的显示垂直标签页和打开垂直标签页,影响编辑器组布局恢复稳定性并留下多余空编辑器组,,是,2026-07-20,,,将 rail 创建和空标签欢迎页恢复纳入同一布局互斥流程，复用已有空组并清理多余空组
2026-07-20,窗口恢复/样式渲染,打开文件较多时关闭 VS Code 后重新打开，VS Code 恢复之前打开的文件但垂直标签页样式没有渲染且界面显示异常,打开大量文件后关闭 VS Code，再重新启动 VS Code 并等待其恢复上次编辑器状态,影响启动恢复后的垂直标签栏可读性和视觉可用性,,是,2026-07-20,,,将 Webview CSS 内联进带 nonce 的 style 标签，保留严格 CSP，并在读取失败时使用最小可读降级样式
